246   27  3
246   103  2
247   1  1
248   1  1
249   1  3
250   1  3
251   1  3
251   27  6
251   30  1
251   35  1
251   39  1
251   45  3
251   47  1
251   48  8
251   52  2
251   54  4
251   55  2
251   57  1
251   62  1
251   63  4
251   66  1
251   71  1
251   104  2
251   110  2
252   1  2
253   1  2
253   13  1
253   18  1
253   27  1
253   37  1
253   45  4
254   1  1
255   1  3
255   6  1
255   8  1
255   9  2
255   13  1
255   14  1
255   19  4
255   21  1
255   22  2
255   27  13
255   28  1
255   33  2
255   35  1
255   39  4
255   43  1
255   45  4
255   47  14
255   48  5
255   52  5
255   54  5
255   57  1
255   63  1
255   67  1
255   71  1
255   80  1
255   83  3
255   89  1
255   91  1
255   100  2
255   102  4
255   103  5
255   108  8
255   110  2
256   1  1
257   1  1
257   14  1
257   21  1
257   27  7
257   32  1
257   48  1
257   52  2
257   54  1
257   57  3
257   68  2
257   89  2
257   91  2
257   100  1
257   101  1
257   103  6
257   104  1
258   1  1
258   9  1
258   11  1
258   19  1
258   27  2
258   45  1
258   48  1
258   50  1
258   55  1
258   56  1
258   57  1
258   62  1
258   66  1
258   103  2
258   110  1
259   1  2
260   1  1
260   2  1
260   11  3
260   28  1
260   52  1
260   54  1
261   1  1
261   2  1
261   19  1
261   110  1
262   1  1
262   2  1
262   47  1
262   52  2
263   1  2
264   1  1
265   1  1
265   13  1
265   33  1
266   1  2
266   27  2
267   1  2
268   1  2
269   1  1
269   2  1
269   13  1
269   14  4
269   19  1
269   27  10
269   45  1
269   47  1
269   49  1
269   52  3
269   54  1
269   55  1
269   89  4
269   103  4
269   104  1
270   1  4
270   19  1
270   27  15
270   37  1
270   52  7
270   55  4
270   56  3
270   103  2
270   104  2
271   1  2
271   9  1
271   49  1
271   52  1
271   56  2
271   103  1
272   1  1
273   1  1
273   27  3
273   45  1
273   55  1
273   71  1
273   103  1
274   1  1
274   27  1
274   52  1
274   54  1
274   55  1
274   56  1
274   103  1
274   104  1
275   1  1
276   1  2
277   1  2
278   1  3
279   1  3
279   66  1
279   68  1
280   1  1
281   1  1
281   52  1
281   66  1
281   89  1
282   1  3
282   2  5
282   6  2
282   13  4
282   14  1
282   27  3
282   37  1
282   39  2
282   45  1
282   47  2
282   48  2
282   49  1
282   52  4
282   54  4
282   66  1
282   69  1
282   71  1
282   74  1
282   89  1
282   100  2
282   102  2
282   103  4
282   104  1
282   108  1
282   110  2
283   1  1
284   1  1
285   1  1
286   1  3
287   1  5
287   47  1
287   52  2
287   89  1
287   103  1
288   1  2
289   1  2
289   27  1
290   1  1
291   1  1
291   103  2
292   1  1
292   13  4
292   27  1
292   49  2
292   67  1
293   1  2
293   9  10
293   66  1
293   103  2
293   108  1
294   1  1
294   45  1
294   47  1
294   52  1
294   63  1
294   66  1
295   1  1
295   13  2
295   17  1
295   39  43
295   63  5
295   66  1
296   1  1
296   39  1
296   52  5
296   56  1
297   1  2
297   27  3
297   52  2
298   1  1
298   2  1
298   6  3
298   13  1
298   17  1
298   19  1
298   32  1
298   47  2
298   52  1
298   110  1
299   1  1
300   1  1
301   1  3
301   12  3
301   14  1
301   19  1
301   27  6
301   28  1
301   52  8
301   53  1
301   54  8
301   55  3
301   56  2
301   66  1
301   83  1
301   103  3
301   104  8
302   1  1
303   1  1
304   1  1
305   1  1
306   1  13
306   2  19
306   14  1
306   47  1
307   1  1
308   1  1
308   54  11
309   1  1
309   54  2
310   1  2
310   48  1
311   1  1
311   27  2
311   103  2
312   1  2
312   2  1
313   1  1
313   2  1
314   1  1
315   1  1
315   39  1
315   83  1
316   1  1
316   83  2
317   1  1
317   13  1
317   28  2
317   49  2
317   54  1
317   91  1
317   94  1
318   1  1
318   47  1
318   48  1
319   1  2
319   2  1
320   1  1
321   1  3
321   13  1
321   27  2
321   47  1
321   56  1
322   1  1
323   1  1
323   13  1
323   27  8
323   56  1
323   103  3
324   1  1
324   13  2
324   27  6
324   56  1
324   103  1
325   1  1
325   6  1
325   27  7
325   33  2
325   39  1
325   48  1
325   49  2
325   52  4
325   57  1
325   68  2
325   89  1
325   100  1
